r,store,emphasis,word
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,normal,flooR
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,fouRth
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Macy's,emphatic,flooR
1,Klein's,normal,fouRth
1,Klein's,normal,fouRth
1,Klein's,normal,fouRth
1,Klein's,normal,flooR
1,Klein's,normal,flooR
1,Klein's,normal,flooR
1,Klein's,normal,flooR
1,Klein's,normal,flooR
1,Klein's,emphatic,fouRth
1,Klein's,emphatic,fouRth
1,Klein's,emphatic,fouRth
1,Klein's,emphatic,fouRth
1,Klein's,emphatic,fouRth
1,Klein's,emphatic,fouRth
1,Klein's,emphatic,flooR
1,Klein's,emphatic,flooR
1,Klein's,emphatic,flooR
1,Klein's,emphatic,flooR
1,Klein's,emphatic,flooR
1,Klein's,emphatic,flooR
1,Klein's,emphatic,flooR
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,fouRth
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,normal,flooR
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,fouRth
0,Saks,emphatic,flooR
0,Saks,emphatic,flooR
0,Saks,emphatic,flooR
0,Saks,emphatic,flooR
0,Saks,emphatic,flooR
0,Saks,emphatic,flooR
0,Saks,emphatic,flooR
0,Saks,emphatic,flooR
0,Saks,emphatic,flooR
0,Saks,emphatic,flooR
0,Saks,emphatic,flooR
0,Saks,emphatic,flooR
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,fouRth
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,normal,flooR
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,fouRth
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Macy's,emphatic,flooR
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,fouRth
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,normal,flooR
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,fouRth
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
0,Klein's,emphatic,flooR
