"participant"	"language"	"item"	"repetition"	"vot"
"monoSp07"	"spanish"	"te"	3	25.91
"monoSp07"	"spanish"	"ti"	1	21.88
"monoSp07"	"spanish"	"ti"	2	8.27
"monoSp07"	"spanish"	"ti"	3	2.11
"monoSp07"	"spanish"	"tu"	1	18.9
"monoSp07"	"spanish"	"tu"	2	10.6
"monoSp07"	"spanish"	"tu"	3	18.9
"monoSp08"	"spanish"	"da"	1	-47.25
"monoSp08"	"spanish"	"da"	2	-70.78
"monoSp08"	"spanish"	"da"	3	-63
"monoSp08"	"spanish"	"de"	1	-60.17
"monoSp08"	"spanish"	"de"	2	-58.26
"monoSp08"	"spanish"	"de"	3	-59.8
"monoSp08"	"spanish"	"di"	1	-38.9
"monoSp08"	"spanish"	"di"	2	-55.1
"monoSp08"	"spanish"	"di"	3	-66.58
"monoSp08"	"spanish"	"te"	1	2.45
"monoSp08"	"spanish"	"te"	2	-0.53
"monoSp08"	"spanish"	"te"	3	5.78
"monoSp08"	"spanish"	"ti"	1	6.08
"monoSp08"	"spanish"	"ti"	2	8.55
"monoSp08"	"spanish"	"ti"	3	7.72
"monoSp08"	"spanish"	"tu"	1	11.54
"monoSp08"	"spanish"	"tu"	2	6.27
"monoSp08"	"spanish"	"tu"	3	17.92
"monoSp09"	"spanish"	"da"	1	-69.83
"monoSp09"	"spanish"	"da"	2	-60.67
"monoSp09"	"spanish"	"da"	3	-67.74
"monoSp09"	"spanish"	"de"	1	-56.84
"monoSp09"	"spanish"	"de"	2	-71.69
"monoSp09"	"spanish"	"de"	3	-66.3
"monoSp09"	"spanish"	"di"	1	-64.88
"monoSp09"	"spanish"	"di"	2	-67.47
"monoSp09"	"spanish"	"di"	3	-45.6
"monoSp09"	"spanish"	"te"	1	10.53
"monoSp09"	"spanish"	"te"	2	17.32
"monoSp09"	"spanish"	"te"	3	6.59
"monoSp09"	"spanish"	"ti"	1	10
"monoSp09"	"spanish"	"ti"	2	12.44
"monoSp09"	"spanish"	"ti"	3	13.87
"monoSp09"	"spanish"	"tu"	1	17
"monoSp09"	"spanish"	"tu"	2	13.73
"monoSp09"	"spanish"	"tu"	3	15.53
"monoEn00"	"english"	"dig"	1	23.95
"monoEn00"	"english"	"dig"	2	24.08
"monoEn00"	"english"	"dig"	3	22.51
"monoEn00"	"english"	"dog"	1	14.05
"monoEn00"	"english"	"dog"	2	12.34
"monoEn00"	"english"	"dog"	3	20.05
"monoEn00"	"english"	"dug"	1	17.56
"monoEn00"	"english"	"dug"	2	24.19
"monoEn00"	"english"	"dug"	3	27.03
"monoEn00"	"english"	"tag"	1	35.68
"monoEn00"	"english"	"tag"	2	50.72
"monoEn00"	"english"	"tag"	3	68.25
"monoEn00"	"english"	"tog"	1	71.4
"monoEn00"	"english"	"tog"	2	29.85
"monoEn00"	"english"	"tog"	3	66.69
"monoEn00"	"english"	"tug"	1	61.22
"monoEn00"	"english"	"tug"	2	55.2
"monoEn00"	"english"	"tug"	3	47.55
"monoEn01"	"english"	"dig"	1	4.88
"monoEn01"	"english"	"dig"	2	-0.95
"monoEn01"	"english"	"dig"	3	11.36
"monoEn01"	"english"	"dog"	1	18.18
"monoEn01"	"english"	"dog"	2	16.66
"monoEn01"	"english"	"dog"	3	18.07
"monoEn01"	"english"	"dug"	1	11.06
"monoEn01"	"english"	"dug"	2	17.27
"monoEn01"	"english"	"dug"	3	10.27
"monoEn01"	"english"	"tag"	1	82.86
"monoEn01"	"english"	"tag"	2	53.69
"monoEn01"	"english"	"tag"	3	48.69
"monoEn01"	"english"	"tog"	1	61.73
"monoEn01"	"english"	"tog"	2	53.87
"monoEn01"	"english"	"tog"	3	50.49
"monoEn01"	"english"	"tug"	1	53.25
"monoEn01"	"english"	"tug"	2	38.53
"monoEn01"	"english"	"tug"	3	57.76
"monoEn02"	"english"	"dig"	1	22.36
"monoEn02"	"english"	"dig"	2	14.76
"monoEn02"	"english"	"dig"	3	12.97
"monoEn02"	"english"	"dog"	1	15.36
"monoEn02"	"english"	"dog"	2	20.56
"monoEn02"	"english"	"dog"	3	10.63
"monoEn02"	"english"	"dug"	1	29.21
"monoEn02"	"english"	"dug"	2	7.91
"monoEn02"	"english"	"dug"	3	19.82
"monoEn02"	"english"	"tag"	1	58.75
"monoEn02"	"english"	"tag"	2	65.61
"monoEn02"	"english"	"tag"	3	47.95
"monoEn02"	"english"	"tog"	1	56.67
"monoEn02"	"english"	"tog"	2	58.43
"monoEn02"	"english"	"tog"	3	55.26
"monoEn02"	"english"	"tug"	1	62.25
"monoEn02"	"english"	"tug"	2	46.39
"monoEn02"	"english"	"tug"	3	38.32
"monoEn03"	"english"	"dig"	1	23.79
"monoEn03"	"english"	"dig"	2	22.5
"monoEn03"	"english"	"dig"	3	24.14
"monoEn03"	"english"	"dog"	1	16.57
"monoEn03"	"english"	"dog"	2	17.2
"monoEn03"	"english"	"dog"	3	23.98
"monoEn03"	"english"	"dug"	1	17.01
"monoEn03"	"english"	"dug"	2	0.68
"monoEn03"	"english"	"dug"	3	0.53
"monoEn03"	"english"	"tag"	1	50.26
"monoEn03"	"english"	"tag"	2	71.56
"monoEn03"	"english"	"tag"	3	47.67
"monoEn03"	"english"	"tog"	1	42.64
"monoEn03"	"english"	"tog"	2	59.14
"monoEn03"	"english"	"tog"	3	56.34
"monoEn03"	"english"	"tug"	1	42.64
"monoEn03"	"english"	"tug"	2	66.42
"monoEn03"	"english"	"tug"	3	50.27
"monoEn04"	"english"	"dig"	1	11.37
"monoEn04"	"english"	"dig"	2	14.99
"monoEn04"	"english"	"dig"	3	15.99
"monoEn04"	"english"	"dog"	1	1.94
"monoEn04"	"english"	"dog"	2	20.82
"monoEn04"	"english"	"dog"	3	20.94
"monoEn04"	"english"	"dug"	1	16.04
"monoEn04"	"english"	"dug"	2	30.93
"monoEn04"	"english"	"dug"	3	12.88
"monoEn04"	"english"	"tag"	1	59.01
"monoEn04"	"english"	"tag"	2	45.33
"monoEn04"	"english"	"tag"	3	55.35
"monoEn04"	"english"	"tog"	1	60.71
"monoEn04"	"english"	"tog"	2	55.28
"monoEn04"	"english"	"tog"	3	49.57
"monoEn04"	"english"	"tug"	1	53.21
"monoEn04"	"english"	"tug"	2	55.42
"monoEn04"	"english"	"tug"	3	49.18
"monoEn05"	"english"	"dig"	1	14.18
"monoEn05"	"english"	"dig"	2	15.11
"monoEn05"	"english"	"dig"	3	18.97
"monoEn05"	"english"	"dog"	1	12.33
"monoEn05"	"english"	"dog"	2	7.7
"monoEn05"	"english"	"dog"	3	20.83
"monoEn05"	"english"	"dug"	1	6.5
"monoEn05"	"english"	"dug"	2	18.98
"monoEn05"	"english"	"dug"	3	24.5
"monoEn05"	"english"	"tag"	1	74.8
"monoEn05"	"english"	"tag"	2	49.46
"monoEn05"	"english"	"tag"	3	62.58
"monoEn05"	"english"	"tog"	1	55.5
"monoEn05"	"english"	"tog"	2	57.71
"monoEn05"	"english"	"tog"	3	42.99
"monoEn05"	"english"	"tug"	1	49.69
"monoEn05"	"english"	"tug"	2	63.78
"monoEn05"	"english"	"tug"	3	58.45
"monoEn06"	"english"	"dig"	1	14.3
"monoEn06"	"english"	"dig"	2	20.11
"monoEn06"	"english"	"dig"	3	15.61
"monoEn06"	"english"	"dog"	1	20.8
"monoEn06"	"english"	"dog"	2	9.71
"monoEn06"	"english"	"dog"	3	16.4
"monoEn06"	"english"	"dug"	1	9.42
"monoEn06"	"english"	"dug"	2	11.83
"monoEn06"	"english"	"dug"	3	8.83
"monoEn06"	"english"	"tag"	1	65.19
"monoEn06"	"english"	"tag"	2	56.59
"monoEn06"	"english"	"tag"	3	46.14
"monoEn06"	"english"	"tog"	1	49.33
"monoEn06"	"english"	"tog"	2	68.72
"monoEn06"	"english"	"tog"	3	34
"monoEn06"	"english"	"tug"	1	60.38
"monoEn06"	"english"	"tug"	2	52.54
"monoEn06"	"english"	"tug"	3	36.88
"monoEn07"	"english"	"dig"	1	15.89
"monoEn07"	"english"	"dig"	2	16.79
"monoEn07"	"english"	"dig"	3	19.9
"monoEn07"	"english"	"dog"	1	17.58
"monoEn07"	"english"	"dog"	2	8.85
"monoEn07"	"english"	"dog"	3	17.96
"monoEn07"	"english"	"dug"	1	19.37
"monoEn07"	"english"	"dug"	2	16.45
"monoEn07"	"english"	"dug"	3	6.75
"monoEn07"	"english"	"tag"	1	62.68
"monoEn07"	"english"	"tag"	2	69.93
"monoEn07"	"english"	"tag"	3	60.18
"monoEn07"	"english"	"tog"	1	49.76
"monoEn07"	"english"	"tog"	2	58.66
"monoEn07"	"english"	"tog"	3	64.99
"monoEn07"	"english"	"tug"	1	44.5
"monoEn07"	"english"	"tug"	2	50.77
"monoEn07"	"english"	"tug"	3	51.79
"monoEn08"	"english"	"dig"	1	15.3
"monoEn08"	"english"	"dig"	2	0.56
"monoEn08"	"english"	"dig"	3	13.16
"monoEn08"	"english"	"dog"	1	14.89
"monoEn08"	"english"	"dog"	2	6.42
"monoEn08"	"english"	"dog"	3	23.86
"monoEn08"	"english"	"dug"	1	15.31
"monoEn08"	"english"	"dug"	2	26.29
"monoEn08"	"english"	"dug"	3	11.16
"monoEn08"	"english"	"tag"	1	52.59
"monoEn08"	"english"	"tag"	2	50.15
"monoEn08"	"english"	"tag"	3	53.65
"monoEn08"	"english"	"tog"	1	37.48
"monoEn08"	"english"	"tog"	2	31.71
"monoEn08"	"english"	"tog"	3	58.82
"monoEn08"	"english"	"tug"	1	46.94
"monoEn08"	"english"	"tug"	2	57.23
"monoEn08"	"english"	"tug"	3	56.26
"monoEn09"	"english"	"dig"	1	14.71
"monoEn09"	"english"	"dig"	2	23.8
"monoEn09"	"english"	"dig"	3	12.63
"monoEn09"	"english"	"dog"	1	17.87
"monoEn09"	"english"	"dog"	2	20.57
"monoEn09"	"english"	"dog"	3	-2.53
"monoEn09"	"english"	"dug"	1	18.47
"monoEn09"	"english"	"dug"	2	13.31
"monoEn09"	"english"	"dug"	3	10.27
"monoEn09"	"english"	"tag"	1	76.57
"monoEn09"	"english"	"tag"	2	46.72
"monoEn09"	"english"	"tag"	3	57.85
"monoEn09"	"english"	"tog"	1	49.9
"monoEn09"	"english"	"tog"	2	44.52
"monoEn09"	"english"	"tog"	3	67.15
"monoEn09"	"english"	"tug"	1	45.83
"monoEn09"	"english"	"tug"	2	66.33
"monoEn09"	"english"	"tug"	3	50.25
"biling00"	"english"	"dig"	1	13.11
"biling00"	"english"	"dig"	2	16.57
"biling00"	"english"	"dig"	3	8.26
"biling00"	"english"	"dog"	1	19.27
"biling00"	"english"	"dog"	2	29.28
"biling00"	"english"	"dog"	3	24.22
"biling00"	"english"	"dug"	1	10.75
"biling00"	"english"	"dug"	2	16.95
"biling00"	"english"	"dug"	3	21.88
"biling00"	"english"	"tag"	1	33.9
"biling00"	"english"	"tag"	2	44.82
"biling00"	"english"	"tag"	3	35.3
"biling00"	"english"	"tog"	1	22.87
"biling00"	"english"	"tog"	2	20.32
"biling00"	"english"	"tog"	3	58.95
"biling00"	"english"	"tug"	1	26.52
"biling00"	"english"	"tug"	2	27.35
"biling00"	"english"	"tug"	3	36.54
"biling00"	"spanish"	"da"	1	-41.93
"biling00"	"spanish"	"da"	2	-64.41
"biling00"	"spanish"	"da"	3	-44.48
"biling00"	"spanish"	"de"	1	-45.12
"biling00"	"spanish"	"de"	2	-63.25
"biling00"	"spanish"	"de"	3	-49.36
"biling00"	"spanish"	"di"	1	-73.28
"biling00"	"spanish"	"di"	2	-50.38
"biling00"	"spanish"	"di"	3	-79.97
"biling00"	"spanish"	"te"	1	8.91
"biling00"	"spanish"	"te"	2	5.81
"biling00"	"spanish"	"te"	3	9.47
"biling00"	"spanish"	"ti"	1	-5.55
"biling00"	"spanish"	"ti"	2	5.64
"biling00"	"spanish"	"ti"	3	5.87
"biling00"	"spanish"	"tu"	1	14.22
"biling00"	"spanish"	"tu"	2	7.76
"biling00"	"spanish"	"tu"	3	9.04
"biling01"	"english"	"dig"	1	7.64
"biling01"	"english"	"dig"	2	12.81
"biling01"	"english"	"dig"	3	8.29
"biling01"	"english"	"dog"	1	-2.25
"biling01"	"english"	"dog"	2	16.49
"biling01"	"english"	"dog"	3	13.39
"biling01"	"english"	"dug"	1	18.78
"biling01"	"english"	"dug"	2	19.35
"biling01"	"english"	"dug"	3	19.45
"biling01"	"english"	"tag"	1	40.74
"biling01"	"english"	"tag"	2	30.95
"biling01"	"english"	"tag"	3	50.07
"biling01"	"english"	"tog"	1	38.43
"biling01"	"english"	"tog"	2	62.99
"biling01"	"english"	"tog"	3	15.24
"biling01"	"english"	"tug"	1	69.94
"biling01"	"english"	"tug"	2	27.41
"biling01"	"english"	"tug"	3	47.98
"biling01"	"spanish"	"da"	1	-61.49
"biling01"	"spanish"	"da"	2	-62.35
"biling01"	"spanish"	"da"	3	-64.53
"biling01"	"spanish"	"de"	1	-54.49
"biling01"	"spanish"	"de"	2	-48.42
"biling01"	"spanish"	"de"	3	-50.36
"biling01"	"spanish"	"di"	1	-58.83
"biling01"	"spanish"	"di"	2	-57.78
"biling01"	"spanish"	"di"	3	-57.16
"biling01"	"spanish"	"te"	1	14.69
"biling01"	"spanish"	"te"	2	-7.38
"biling01"	"spanish"	"te"	3	-6.39
"biling01"	"spanish"	"ti"	1	-4.74
"biling01"	"spanish"	"ti"	2	15.08
"biling01"	"spanish"	"ti"	3	8
"biling01"	"spanish"	"tu"	1	16.11
"biling01"	"spanish"	"tu"	2	14.5
"biling01"	"spanish"	"tu"	3	-0.9
"biling02"	"english"	"dig"	1	7.24
"biling02"	"english"	"dig"	2	9.79
"biling02"	"english"	"dig"	3	23.68
"biling02"	"english"	"dog"	1	5.54
"biling02"	"english"	"dog"	2	15.83
"biling02"	"english"	"dog"	3	14.86
"biling02"	"english"	"dug"	1	12.47
"biling02"	"english"	"dug"	2	21.93
"biling02"	"english"	"dug"	3	19.39
"biling02"	"english"	"tag"	1	43.03
"biling02"	"english"	"tag"	2	33.92
"biling02"	"english"	"tag"	3	27.47
"biling02"	"english"	"tog"	1	33.61
"biling02"	"english"	"tog"	2	20.98
"biling02"	"english"	"tog"	3	28.12
"biling02"	"english"	"tug"	1	30.95
"biling02"	"english"	"tug"	2	40.53
"biling02"	"english"	"tug"	3	47.73
"biling02"	"spanish"	"da"	1	-60.07
"biling02"	"spanish"	"da"	2	-51.82
"biling02"	"spanish"	"da"	3	-38.56
"biling02"	"spanish"	"de"	1	-60.83
"biling02"	"spanish"	"de"	2	-64.89
"biling02"	"spanish"	"de"	3	-65.19
"biling02"	"spanish"	"di"	1	-58.16
"biling02"	"spanish"	"di"	2	-61.14
"biling02"	"spanish"	"di"	3	-62.35
"biling02"	"spanish"	"te"	1	16.61
"biling02"	"spanish"	"te"	2	-3.47
"biling02"	"spanish"	"te"	3	0.77
"biling02"	"spanish"	"ti"	1	19.27
"biling02"	"spanish"	"ti"	2	12.34
"biling02"	"spanish"	"ti"	3	-0.34
"biling02"	"spanish"	"tu"	1	-2.18
"biling02"	"spanish"	"tu"	2	-3.37
"biling02"	"spanish"	"tu"	3	3.27
"biling03"	"english"	"dig"	1	8.32
"biling03"	"english"	"dig"	2	5.86
"biling03"	"english"	"dig"	3	16.31
"biling03"	"english"	"dog"	1	21.04
"biling03"	"english"	"dog"	2	2.38
"biling03"	"english"	"dog"	3	19.69
"biling03"	"english"	"dug"	1	24.79
"biling03"	"english"	"dug"	2	21.42
"biling03"	"english"	"dug"	3	12.74
"biling03"	"english"	"tag"	1	39.99
"biling03"	"english"	"tag"	2	63.41
"biling03"	"english"	"tag"	3	73.64
"biling03"	"english"	"tog"	1	42.19
"biling03"	"english"	"tog"	2	16.6
"biling03"	"english"	"tog"	3	23.57
"biling03"	"english"	"tug"	1	40.17
"biling03"	"english"	"tug"	2	36.66
"biling03"	"english"	"tug"	3	40.43
"biling03"	"spanish"	"da"	1	-52.77
"biling03"	"spanish"	"da"	2	-47.77
"biling03"	"spanish"	"da"	3	-43.64
"biling03"	"spanish"	"de"	1	-56.97
"biling03"	"spanish"	"de"	2	-61.07
"biling03"	"spanish"	"de"	3	-56.94
"biling03"	"spanish"	"di"	1	-63.48
"biling03"	"spanish"	"di"	2	-54.74
"biling03"	"spanish"	"di"	3	-59.02
"biling03"	"spanish"	"te"	1	18.05
"biling03"	"spanish"	"te"	2	12.95
"biling03"	"spanish"	"te"	3	32.95
"biling03"	"spanish"	"ti"	1	12.96
"biling03"	"spanish"	"ti"	2	12.07
"biling03"	"spanish"	"ti"	3	24.17
"biling03"	"spanish"	"tu"	1	34.33
"biling03"	"spanish"	"tu"	2	1.56
"biling03"	"spanish"	"tu"	3	14.97
"biling04"	"english"	"dig"	1	11.57
"biling04"	"english"	"dig"	2	11.77
"biling04"	"english"	"dig"	3	14.88
"biling04"	"english"	"dog"	1	13.93
"biling04"	"english"	"dog"	2	9.69
"biling04"	"english"	"dog"	3	12.71
"biling04"	"english"	"dug"	1	20.21
"biling04"	"english"	"dug"	2	16.73
"biling04"	"english"	"dug"	3	29.45
"biling04"	"english"	"tag"	1	56.32
"biling04"	"english"	"tag"	2	36.6
"biling04"	"english"	"tag"	3	52.49
"biling04"	"english"	"tog"	1	48.12
"biling04"	"english"	"tog"	2	34.77
"biling04"	"english"	"tog"	3	48.55
"biling04"	"english"	"tug"	1	23.2
"biling04"	"english"	"tug"	2	54.64
"biling04"	"english"	"tug"	3	60.86
"biling04"	"spanish"	"da"	1	-47.43
"biling04"	"spanish"	"da"	2	-32.13
"biling04"	"spanish"	"da"	3	-62.39
"biling04"	"spanish"	"de"	1	-65.52
"biling04"	"spanish"	"de"	2	-70.63
"biling04"	"spanish"	"de"	3	-32.28
"biling04"	"spanish"	"di"	1	-63.84
"biling04"	"spanish"	"di"	2	-75.55
"biling04"	"spanish"	"di"	3	-31.55
"biling04"	"spanish"	"te"	1	-9.75
"biling04"	"spanish"	"te"	2	7.72
"biling04"	"spanish"	"te"	3	-2.17
"biling04"	"spanish"	"ti"	1	5.43
"biling04"	"spanish"	"ti"	2	-7.72
"biling04"	"spanish"	"ti"	3	12.08
"biling04"	"spanish"	"tu"	1	18.66
"biling04"	"spanish"	"tu"	2	28.09
"biling04"	"spanish"	"tu"	3	17.51
"biling05"	"english"	"dig"	1	14.47
"biling05"	"english"	"dig"	2	10.52
"biling05"	"english"	"dig"	3	12.04
"biling05"	"english"	"dog"	1	15.01
"biling05"	"english"	"dog"	2	10.63
"biling05"	"english"	"dog"	3	14.58
"biling05"	"english"	"dug"	1	3.42
"biling05"	"english"	"dug"	2	22.65
"biling05"	"english"	"dug"	3	30.41
"biling05"	"english"	"tag"	1	62.03
"biling05"	"english"	"tag"	2	50.56
"biling05"	"english"	"tag"	3	34.21
"biling05"	"english"	"tog"	1	48.01
"biling05"	"english"	"tog"	2	34.13
"biling05"	"english"	"tog"	3	27.58
"biling05"	"english"	"tug"	1	49.63
"biling05"	"english"	"tug"	2	34.54
"biling05"	"english"	"tug"	3	70.68
"biling05"	"spanish"	"da"	1	-54.68
"biling05"	"spanish"	"da"	2	-74.98
"biling05"	"spanish"	"da"	3	-67.83
"biling05"	"spanish"	"de"	1	-67.11
"biling05"	"spanish"	"de"	2	-59.46
"biling05"	"spanish"	"de"	3	-52.95
"biling05"	"spanish"	"di"	1	-61.94
"biling05"	"spanish"	"di"	2	-49.28
"biling05"	"spanish"	"di"	3	-77.18
"biling05"	"spanish"	"te"	1	5.65
"biling05"	"spanish"	"te"	2	20.06
"biling05"	"spanish"	"te"	3	1.29
"biling05"	"spanish"	"ti"	1	6.83
"biling05"	"spanish"	"ti"	2	19.59
"biling05"	"spanish"	"ti"	3	15.41
"biling05"	"spanish"	"tu"	1	0.64
"biling05"	"spanish"	"tu"	2	0.58
"biling05"	"spanish"	"tu"	3	-9.66
"biling06"	"english"	"dig"	1	14.19
"biling06"	"english"	"dig"	2	20.66
"biling06"	"english"	"dig"	3	23.02
"biling06"	"english"	"dog"	1	10.59
"biling06"	"english"	"dog"	2	15.6
"biling06"	"english"	"dog"	3	11.02
"biling06"	"english"	"dug"	1	13.77
"biling06"	"english"	"dug"	2	20.73
"biling06"	"english"	"dug"	3	25.18
"biling06"	"english"	"tag"	1	33.64
"biling06"	"english"	"tag"	2	58.76
"biling06"	"english"	"tag"	3	80.16
"biling06"	"english"	"tog"	1	63.03
"biling06"	"english"	"tog"	2	54.24
"biling06"	"english"	"tog"	3	54.41
"biling06"	"english"	"tug"	1	42.3
"biling06"	"english"	"tug"	2	54.79
"biling06"	"english"	"tug"	3	42.2
"biling06"	"spanish"	"da"	1	-51.14
"biling06"	"spanish"	"da"	2	-62.48
"biling06"	"spanish"	"da"	3	-62.6
"biling06"	"spanish"	"de"	1	-65.71
"biling06"	"spanish"	"de"	2	-46.84
"biling06"	"spanish"	"de"	3	-58.06
"biling06"	"spanish"	"di"	1	-54.78
"biling06"	"spanish"	"di"	2	-53.74
"biling06"	"spanish"	"di"	3	-57.03
